"","WT1","WT2","WT3","muMT1","muMT2"
"Gm44675",0,1,0,0,0
"Gm44676",0,0,0,0,1
"Gm44677",3,8,6,4,4
"Gm44680",0,0,1,0,0
"Gm44681",0,1,1,0,0
"Gm23928",0,0,0,0,0
"C030038I04Rik",0,0,0,0,0
"Gm45130",3,2,0,1,2
"Gm45129",0,4,3,1,1
"Gm45131",0,1,0,0,0
"4931412I15Rik",0,0,0,0,0
"4930567K12Rik",1,0,2,1,0
"B230206I08Rik",0,0,1,1,0
"Gm45201",2,8,8,1,6
"Ccdc90b",196,276,263,217,263
"Ankrd42",174,213,315,126,182
"Gm37008",1,7,1,0,0
"Gm26944",6,7,6,2,6
"6430511E19Rik",15,16,19,3,15
"Pcf11",714,1052,1286,589,935
"Gm45199",0,0,0,0,0
"Gm26981",5,8,5,5,4
"4632427E13Rik",11,18,23,22,15
"Rab30",712,843,1045,593,877
"Gm45200",0,0,1,0,0
"Ddias",13,23,24,13,23
"Prcp",151,150,211,127,153
"9530078K11Rik",0,0,0,0,0
"Gm31663",0,0,0,1,1
"Gm26862",3,2,0,3,1
"Gm9934",4,2,3,5,3
"Fam181b",243,407,379,269,340
"Gm25860",0,0,0,0,0
"Gm44715",0,0,0,0,0
"Gm15501",14,15,14,25,31
"Gm44947",0,0,0,0,0
"Gm45037",0,0,0,0,0
"Gm45038",0,0,0,0,0
"Gm8285",0,0,0,0,0
"Gm45039",0,0,0,0,0
"Bc1-ps1",0,0,0,0,0
"Gm32647",1,1,1,0,3
"Gm5899",0,0,0,0,1
"Gm44601",0,0,0,0,0
"Gm44602",0,0,0,0,0
"Gm19761",0,0,0,0,0
"Gm23884",0,0,0,0,0
"Gm25684",0,0,0,0,0
"Gm8309",0,0,0,0,0
"Gm44603",0,0,0,0,0
"Gm5037",0,0,0,0,0
"Tenm4",1619,1758,2683,986,1647
"Gm8319",0,1,0,0,2
"Mir708",0,2,1,0,0
"Mir6394",0,0,0,0,0
"Gm15412",0,0,0,0,0
"Rps11-ps5",0,0,0,0,0
"Gm15414",0,0,0,0,0
"Gm15413",0,0,3,1,0
"Gm15416",0,0,0,0,0
"Gm44633",0,0,1,1,0
"Gm25712",0,0,0,0,0
"C230038L03Rik",4,8,8,4,4
"Gm22226",0,0,0,0,0
"Nars2",151,236,236,156,246
"Gab2",365,490,707,293,435
"Usp35",378,458,634,290,403
"Kctd21",296,375,489,265,373
"Alg8",114,150,157,96,166
"Ndufc2",1411,2098,2149,1703,2065
"Gm16053",1,0,2,0,0
"Thrsp",685,1305,1193,1092,1521
"Kctd14",39,101,131,75,105
"Ints4",397,643,689,416,616
"Gm24412",0,0,0,0,0
"Aamdc",184,297,327,268,330
"Rsf1",935,1306,1787,807,1270
"Ywhaq-ps1",0,0,0,0,0
"Rpl15-ps5",0,0,0,0,0
"Rsf1os1",0,1,0,0,0
"Rsf1os2",3,2,2,0,2
"Gm45186",1,1,1,1,3
"Clns1a",1279,1897,2032,1589,2101
"Aqp11",401,599,638,381,639
"Pak1",5902,7247,8257,5329,7100
"Gm44590",0,0,0,0,0
"Gdpd4",0,0,0,0,0
"Myo7a",285,575,742,361,457
"Capn5",1204,1523,1902,1067,1659
"Omp",8,13,15,13,14
"Gm16938",5,6,10,2,9
"B3gnt6",7,13,15,10,9
"Acer3",293,412,523,291,390
"Tsku",51,126,134,64,94
"Gm44507",0,0,0,0,0
"Gm44980",0,0,0,0,0
"Gucy2d",0,0,0,0,1
"Gm2926",0,0,0,0,0
"Gm44978",0,0,0,0,0
"Lrrc32",49,69,89,28,76
"Gm23040",0,0,0,0,0
"A630091E08Rik",0,0,0,0,0
"Emsy",900,1504,1590,1050,1438
"Gm45132",0,0,0,0,0
"Gm15506",41,32,57,27,37
"Thap12",1828,2498,2989,1758,2598
"Gm19656",1,5,3,2,6
"Gm44934",0,0,0,0,0
"Wnt11",16,37,34,21,38
"Gm8398",0,0,0,0,0
"Uvrag",522,739,810,510,729
"Gm45188",11,21,15,14,18
"Gm45187",26,45,57,20,52
"Gm23479",0,0,0,0,0
"Gm33882",0,0,0,0,0
"Gm44975",0,0,2,0,0
"Gm45185",1,0,1,0,2
"Dgat2",1817,2800,2807,2274,2876
"Gm45012",0,0,0,0,0
"Mogat2",0,2,1,0,0
"Gm18943",5,3,5,1,2
"Gm26705",2,1,3,0,0
"Map6",1647,2091,2331,1500,1937
"Gm45591",4,3,12,3,4
"Serpinh1",381,711,849,451,704
"Gdpd5",297,385,416,260,305
"Klhl35",31,49,36,16,46
"Rps3",6681,10646,10273,9296,11037
"Snord15b",0,0,0,0,0
"Snord15a",0,3,4,1,1
"n-R5s156",0,0,0,0,0
"Arrb1",5038,6112,7871,3928,5868
"Mir326",0,0,0,0,0
"Gm44914",1,0,0,0,0
"Tpbgl",78,133,127,73,111
"Gm10605",97,113,120,95,120
"Gm25409",0,0,0,0,0
"Slco2b1",302,393,494,253,413
"Gm15635",3,1,6,0,3
"Gm34280",1,1,1,1,1
"Gm44551",0,0,0,0,0
"Olfr520",0,0,0,0,0
"Gm19182",0,0,0,0,0
"Olfr521",0,0,0,0,0
"F730035P03Rik",1,1,0,0,0
"Neu3",47,62,77,42,55
"Spcs2",1312,2151,2173,1556,2218
"Xrra1",23,42,38,22,42
"Gm38405",0,2,1,0,0
"A930030B08Rik",2,2,4,1,1
"Rnf169",751,995,1258,598,905
"Gm18959",0,1,0,0,0
"Gm17931",1,4,1,2,7
"Chrdl2",0,2,2,4,0
"Pold3",334,451,559,353,501
"Lipt2",114,134,181,136,180
"Gm34821",0,1,0,2,0
"Kcne3",15,11,9,3,13
"Gm7067",15,11,14,9,11
"Pgm2l1",8347,9962,15056,5453,10304
"Gpx2-ps1",0,0,0,0,0
"P4ha3",25,32,39,35,50
"Ppme1",2501,3395,3723,2252,3236
"C2cd3",433,551,713,334,585
"Gm44571",0,0,0,0,0
"Gm10603",3,1,1,0,2
"Gm37716",0,0,0,1,3
"Ucp3",50,56,69,62,54
"Ucp2",427,1217,1512,838,993
"Dnajb13",5,68,71,36,47
"Gm8463",0,0,0,0,0
"Coa4",33,72,104,58,102
"Gm39059",6,5,7,5,3
"Mrpl48",685,1135,1197,885,1129
"Gm44648",0,0,0,0,0
"Cox20b",0,1,0,0,0
"Rab6a",10404,14429,16812,9135,13811
"Gm14382",0,0,0,0,0
"Plekhb1",4688,8288,7638,7115,8353
"Gm35082",0,1,1,0,0
"Fam168a",5024,6601,8254,4237,6564
"Gm45209",0,0,0,0,0
"Gm3200",9,16,15,10,15
"Gm44953",0,0,0,0,0
"Relt",273,293,325,253,261
"Arhgef17",4610,6311,8196,4107,6938
"Mir3102",0,0,0,0,0
"P2ry6",53,102,80,53,101
"Gm44545",1,1,0,0,0
"P2ry2",11,17,27,14,14
"Gm45070",0,0,0,0,1
"Gm5735",0,0,1,1,1
"Fchsd2",646,796,1028,499,748
"Gm6341",1,1,0,0,0
"Gm47324",0,0,0,0,0
"Atg16l2",195,241,278,169,252
"Stard10",447,687,616,563,497
"Gm20476",0,0,0,0,0
"Gm45344",0,0,0,1,0
"Gm45620",0,2,2,3,3
"Arap1",277,544,600,387,502
"Gm45548",0,2,0,0,0
"Gm45837",2,0,0,0,1
"Pde2a",95,145,200,68,90
"Mir139",0,0,0,0,0
"Gm35363",0,0,0,0,0
"Art2a-ps",0,0,0,0,0
"Gm7027",5,2,1,2,4
"Art2b",0,0,0,0,0
"Clpb",794,1046,1315,709,1077
"Gm45380",20,20,47,12,49
"Phox2a",0,0,2,0,0
"Inppl1",424,740,894,501,673
"Gm10602",11,13,17,9,11
"Folr2",5,8,6,2,8
"Gm45319",0,0,0,0,0
"Folr1",8,1339,1351,714,934
"Anapc15",219,300,316,218,292
"Gm22655",0,0,0,0,0
"Tomt",5,2,5,3,2
"Lamtor1",1358,1980,2141,1609,2139
"Lrrc51",19,69,82,60,65
"Numa1",1737,2222,2737,1502,2165
"Gm8523",0,0,0,0,0
"Gm45312",0,1,0,0,0
"Gm45313",0,0,0,0,0
"Il18bp",17,39,52,36,57
"Rnf121",527,831,908,585,753
"Xndc1",104,150,178,93,125
"Xntrpc",3,7,7,3,3
"Trpc2",0,0,0,0,0
"Art5",0,1,0,0,2
"Art1",0,1,1,0,3
"Chrna10",0,3,1,5,0
"Nup98",592,725,958,480,745
"Pgap2",201,308,354,219,318
"AC139579.1",0,0,0,0,0
"Rhog",422,749,605,663,718
"Stim1",1352,1873,2204,1226,1623
"Gm18255",0,0,0,0,0
"Rrm1",363,611,661,419,569
"Gm45399",0,0,0,0,0
"Olfr543",1,0,3,1,1
"Olfr544",2,0,1,1,5
"Olfr545",0,0,0,0,0
"Gm8556",0,0,0,0,0
"Olfr546-ps1",0,0,0,0,0
"Olfr547",0,0,0,0,0
"Olfr548-ps1",0,0,0,0,0
"Olfr549",0,0,0,0,0
"Trim21",43,86,140,53,82
"Gm5339",0,0,0,0,0
"Olfr550",24,33,38,11,31
"Olfr551",6,3,10,3,6
"Olfr552",0,0,1,0,1
"Olfr553",0,0,0,0,0
"Olfr554",0,0,0,0,0
"Gm2996",0,0,0,0,0
"Olfr555",0,0,0,0,0
"Olfr556",0,0,0,0,0
"Gm45687",0,0,0,0,0
"Trim68",60,106,136,63,106
"Gm45527",1,0,1,1,0
"Olfr557",0,0,0,0,0
"Olfr558",9,6,9,9,7
"Gm45688",0,0,0,0,0
"Olfr33",0,0,0,0,1
"Olfr559",2,1,1,1,1
"Gm24210",0,0,0,1,0
"Olfr78",1,2,5,1,3
"Olfr560",0,0,0,0,0
"Olfr561",1,0,0,0,0
"Olfr562-ps1",0,0,1,0,1
"Olfr563-ps1",0,0,0,1,0
"Olfr564",0,0,2,0,0
"Olfr565-ps1",0,0,0,0,0
"Olfr566",0,0,0,0,0
"Gm45689",0,0,0,0,0
"Olfr567-ps1",0,0,0,0,0
"Olfr568",0,0,0,0,0
"Olfr569",0,0,0,0,0
"Olfr570",0,11,27,19,16
"Olfr571",0,0,0,0,0
"Olfr572",0,0,0,0,0
"Olfr573-ps1",0,0,0,0,0
"Olfr574",0,0,4,1,1
"Olfr575",0,2,1,1,3
"Olfr576",0,0,0,0,0
"Olfr577",0,0,0,0,0
"Olfr578",0,0,0,0,0
"AC161520.1",0,0,0,0,0
"Olfr580-ps1",0,0,0,0,0
"Olfr581-ps1",0,0,0,0,0
"Olfr582",0,0,0,0,0
"Olfr583",0,0,0,0,0
"Olfr584",0,0,0,0,0
"Olfr585",0,0,0,0,0
"Olfr586",0,0,0,0,0
"Olfr587-ps1",0,0,0,0,0
"Gm15120",0,0,0,0,0
"Olfr588-ps1",0,0,0,1,0
"Gm15116",0,0,0,0,0
"Olfr589",0,0,0,0,0
"Olfr590-ps1",0,0,0,0,0
"Olfr591",0,0,0,0,0
"Olfr592",0,0,0,0,0
"Olfr593",0,0,0,0,0
"Olfr594",0,1,0,0,0
"Olfr595-ps1",0,0,0,0,0
"Usp17ld",0,0,0,0,0
"Gm25171",0,0,0,0,0
"Gm23550",0,0,0,0,0
"Gm23973",0,0,0,0,0
"Olfr596",0,0,0,0,0
"Olfr597",0,0,0,0,0
"Olfr598",0,0,0,0,0
"Olfr599",0,0,0,0,0
"Olfr600",0,0,0,0,0
"Olfr601",0,0,0,0,0
"Olfr602-ps1",0,0,0,0,0
"Olfr603",0,0,0,0,0
"Usp17lc",0,0,0,0,0
"Gm25774",0,0,0,0,0
"Olfr605",0,0,0,0,0
"Olfr606",0,0,0,0,0
"Olfr607",0,0,0,0,0
"Olfr608",0,0,0,0,0
"Olfr609",0,0,0,0,0
"Olfr610",0,0,0,0,0
"Olfr611",0,0,0,0,0
"Olfr612",0,0,0,0,0
"Olfr613",0,0,0,0,0
"Olfr615",0,0,0,0,0
"Olfr616",0,0,0,0,0
"Olfr617",0,0,0,0,0
"Gm26506",0,0,0,0,0
"Olfr618",0,0,0,0,0
"Olfr619",0,0,0,0,0
"Olfr620",0,0,0,0,0
"Olfr621-ps1",0,0,0,0,0
"Olfr622",0,1,0,0,0
"Olfr623",0,0,0,0,0
"Olfr624",0,0,0,0,0
"Olfr625-ps1",0,0,0,0,0
"Olfr626-ps1",0,0,0,0,0
"Olfr260-ps1",0,0,0,0,0
"Olfr243",0,0,0,0,0
"Olfr628",0,0,0,0,0
"Olfr629",0,0,0,0,0
"Olfr630",0,0,0,0,0
"Olfr69",0,0,0,0,0
"Olfr68",0,0,0,0,0
"Olfr67",0,0,0,0,0
"Hbb-bt",15,10,42,11,83
"Hbb-bs",35,77,169,93,430
"Gm15115",0,0,0,0,0
"Hbb-bh3",0,0,0,0,0
"Hbb-bh2",0,0,0,0,0
"Hbb-bh1",0,0,0,0,0
"Hbb-bh0",0,0,0,0,0
"Hbb-y",0,3,2,1,3
"Olfr66",0,0,0,0,0
"Dnajc19-ps",2,3,6,1,1
"Olfr64",0,0,0,0,0
"Olfr65",0,0,0,0,0
"Olfr631",0,0,0,0,0
"Olfr632",0,0,0,0,0
"Gm45655",0,0,0,0,0
"Olfr633",0,0,0,0,0
"Olfr634-ps1",0,0,0,0,0
"Olfr635",0,0,0,0,0
"Gm4886",0,0,0,0,0
"Olfr636-ps1",0,0,0,0,0
"Olfr637-ps1",0,0,0,0,0
"Olfr638",0,0,0,0,0
"Olfr643",0,0,0,0,0
"Olfr639",0,1,0,0,0
"Olfr640",0,0,0,0,0
"Olfr641",0,0,0,0,0
"Olfr642",0,0,0,0,0
"4930516K23Rik",0,0,0,0,0
"Olfr644",0,0,0,0,0
"Olfr645",0,0,0,0,0
"Olfr646",0,0,0,0,0
"Ubqln5",0,0,0,0,0
"Ubqln3",0,0,0,0,0
"Ubqlnl",0,0,0,0,0
"Olfm5",1,0,1,0,2
"Olfr647-ps1",0,0,0,0,0
"Olfr648",0,0,0,0,0
"Olfr649",0,0,0,0,0
"Olfr650-ps1",0,0,0,0,0
"Trim6",3,3,1,0,2
"Gm8667",0,0,0,0,0
"Trim34a",12,45,31,24,41
"Gm47248",0,0,0,0,0
"Trim5",7,6,10,10,16
"Gm24846",0,0,0,0,0
"Trim12a",52,78,79,38,60
"Gm15133",0,0,0,1,1
"Trim34b",0,0,2,0,1
"Trim12c",71,99,143,79,122
"Gm27995",0,0,0,0,0
"Trim30b",2,1,0,3,3
"Trim30c",0,1,0,0,0
"Gm45471",0,0,2,0,0
"Trim30a",37,52,59,51,56
"Gm25405",0,0,0,0,0
"Trim30d",19,43,50,14,50
"Gm16464",0,0,0,0,0
"Gm6574",0,0,0,0,0
"Trim30e-ps1",0,2,1,0,0
"Olfr651",0,0,0,0,0
"Olfr652",0,0,0,0,0
"Olfr653",0,0,0,0,0
"Olfr654",0,0,0,0,0
"Olfr655",0,0,0,0,0
"Olfr656",0,0,0,0,0
"Olfr657",0,0,0,0,0
"Olfr658",2,4,2,2,4
"Usp17le-ps",0,0,0,0,0
"Olfr659",0,0,0,0,0
"Olfr660-ps1",0,0,0,0,0
"Olfr661",0,0,0,0,0
"Gm6593",0,0,0,0,0
"Olfr662-ps1",0,0,0,0,0
"Olfr663",0,0,0,0,0
"Olfr664",0,0,0,0,0
"Usp17le",0,0,0,0,0
"Gm4887",0,2,3,1,1
"Usp17lb",0,0,0,0,0
"Usp17la",0,0,0,0,0
"Gm45556",0,0,0,0,0
"Olfr665",0,0,0,0,0
"Olfr666",0,0,0,0,0
"Gm45272",0,0,0,0,0
"Gm45275",0,0,0,0,0
"Olfr667",0,0,0,0,0
"Olfr668",0,0,0,0,0
"Olfr669",0,0,0,0,0
"Gm45273",0,0,0,0,0
"Gm5900",2,3,3,3,2
"Olfr670",1,0,0,0,0
"Olfr671",0,0,0,0,0
"Olfr672",1,0,0,0,0
"Olfr673-ps1",0,0,0,0,0
"Olfr674-ps1",0,0,0,0,0
"Olfr675",0,0,0,0,0
"Olfr676",0,0,0,0,0
"Olfr677",0,0,0,0,0
"Gm8913",0,0,0,0,0
"Olfr678",0,0,0,0,0
"Gm17989",0,0,0,0,0
"Gm45557",0,0,0,0,0
"Olfr679",0,0,0,0,0
"Olfr680-ps1",0,0,0,0,0
"Gm17990",0,0,0,0,0
"Gm45558",0,0,0,0,0
"Olfr681",0,0,0,0,0
"Olfr682-ps1",0,0,0,0,0
"Olfr683",0,0,0,0,0
"Gm45374",0,0,0,0,0
"Olfr684",0,0,0,0,0
"Olfr685",0,0,0,0,0
"Olfr686",0,0,0,0,0
"Olfr687",0,0,0,0,0
"Olfr688",0,0,0,0,0
"Olfr689",0,0,3,0,1
"Gm45331",0,0,0,0,0
"Olfr690",0,0,1,0,0
"Olfr691",0,0,0,1,2
"Olfr692",1,0,1,0,1
"Fam160a2",1337,1689,2253,1191,1611
"Gm5901",0,0,0,0,0
"Gm45885",5,16,13,3,5
"Cnga4",20,35,36,14,26
"Gm4972",0,1,3,3,1
"Cckbr",275,312,252,138,160
"Cavin3",261,389,339,349,411
"Gm45667",0,0,1,0,1
"Smpd1",2485,3627,4193,2541,3462
"Apbb1",8307,11536,12359,8057,10971
"Hpx",5,14,6,5,10
"Trim3",1963,2817,3211,1853,2578
"Gm45632",0,0,4,1,1
"Arfip2",2149,3088,3335,2132,2926
"Timm10b",350,514,548,384,530
"Gm45799",2,0,4,3,4
"Gm22504",0,0,0,0,0
"Dnhd1",24,30,50,11,37
"Mrps36-ps2",0,0,3,0,0
"Rrp8",234,330,457,228,320
"Ilk",111,178,165,115,161
"Taf10",813,1232,1161,854,1053
"Tpp1",1233,1654,2184,1048,1616
"Dchs1",340,481,648,240,418
"Gm15645",5,0,3,0,0
"Mrpl17",677,1050,1135,778,1071
"Gm45912",0,0,0,0,0
"9130208D14Rik",0,0,3,0,0
"Gm45684",0,0,0,0,0
"Gm4070",4,2,8,2,5
"Gm20663",0,0,0,0,0
"Gm18852",0,0,0,0,0
"Gm27228",0,0,0,0,0
"Gm8979",0,0,0,0,0
"Gm27149",0,0,0,0,0
"Gm8982",0,0,0,0,0
"Gvin1",4,5,0,0,2
"Gm18853",0,0,0,0,0
"Gm27150",0,0,0,0,0
"Gm8989",0,0,0,0,0
"Gm4759",0,0,0,0,0
"Gm22372",0,0,0,0,0
"Gm8995",36,45,58,34,62
"Gm1966",3,2,6,0,6
"Olfr693",0,0,0,0,0
"Olfr694",0,0,0,0,0
"Gm44857",0,0,0,0,0
"Olfr695",0,0,0,0,0
"Olfr696-ps1",0,0,0,0,0
"Olfr697",0,0,0,0,0
"Olfr698",0,0,0,0,0
"Olfr699",0,0,0,0,0
"Olfr700",0,0,0,0,0
"4930458B22Rik",0,0,0,0,0
"Olfr701",0,0,0,0,0
"Olfr702",0,0,0,0,0
"Olfr703",0,0,0,0,0
"Olfr704",0,0,0,0,0
"Olfr705",0,0,0,0,0
"Olfr706",0,0,0,0,0
"Olfr707",0,0,0,0,0
"Olfr1532-ps1",0,0,0,0,0
"Olfr709-ps1",0,0,0,0,0
"Olfr710",0,0,0,0,0
"Gm44582",0,0,0,0,0
"Olfr6",0,0,0,0,0
"Olfr711",0,0,0,0,0
"Olfr712-ps1",0,0,0,0,0
"Olfr2",0,0,0,0,0
"Olfr713",0,0,0,0,0
"Gm17991",0,0,0,0,0
"Olfr714",0,0,0,0,0
"Gm45023",0,0,0,0,0
"Olfr17",0,0,0,0,0
"Olfr715b",0,0,0,0,0
"Gm45868",0,0,0,0,0
"Olfr715",0,0,0,0,0
"Olfr716",0,0,0,0,0
"Nlrp14",0,0,0,0,0
"Gm3765",0,0,0,0,0
"Rbmxl2",0,0,0,0,0
"Platr28",0,0,0,0,0
"Gm24932",0,0,0,0,0
"Gm19033",0,0,0,0,0
"Syt9",101,195,243,107,149
"Olfml1",199,263,338,183,282
"Gm44773",2,2,1,1,1
"Ppfibp2",95,266,288,185,184
"5330417H12Rik",0,0,0,0,0
"Gm44772",0,0,0,0,0
"Cyb5r2",8,5,4,5,7
"Gm45040",0,0,0,0,0
"Ovch2",0,0,0,0,0
"Olfr467",0,0,0,0,0
"Olfr468-ps1",0,0,0,0,0
"Olfr469",0,0,0,0,0
"Gm5002",0,0,0,0,0
"Olfr470",0,0,0,0,0
"Olfr471",0,0,0,0,0
"Gm10156",2,2,4,0,2
"Olfr472",0,0,0,0,0
"Olfr473",0,0,0,0,0
"Gm9449",1,0,0,0,1
"Olfr474",0,0,0,0,0
"Olfr476",0,0,0,0,0
"Olfr477",0,0,0,0,0
"Gm6702",0,0,0,0,0
"Olfr478",0,0,0,0,0
"Olfr479",0,0,0,0,0
"Olfr480",0,0,0,0,0
"Olfr481",0,0,0,0,0
"Gm45375",0,0,0,0,0
"Olfr482",2,1,2,0,4
"Gm44870",0,0,0,0,0
"Olfr483",0,0,0,0,0
"Gm25424",0,0,0,0,0
"Olfr484",0,0,0,0,0
"Olfr485",0,0,0,0,0
"Olfr486",0,0,0,0,0
"Gm18944",0,0,0,0,0
"Olfr487",0,0,0,0,0
"Olfr488",0,0,0,0,0
"Gm6007",0,0,0,0,0
"Olfr489-ps1",0,0,0,0,0
"Olfr490",0,0,0,0,0
"Gm44594",0,0,0,0,0
"Olfr491",0,0,0,0,0
"Olfr492",0,0,0,0,0
"Olfr493",0,0,0,0,0
"Olfr494",0,0,0,0,0
"Gm45392",0,0,0,0,0
"Olfr495",0,0,0,0,0
"Olfr496-ps1",0,0,0,0,0
"Olfr497",0,0,0,0,0
"Gm44611",0,0,0,0,0
"Olfr498",0,0,0,0,0
"Olfr499-ps1",0,0,0,0,0
"Olfr500-ps1",0,0,0,0,0
"Olfr501-ps1",0,0,0,0,0
"Olfr502",0,0,0,0,0
"Gm5053",0,0,0,0,0
"Olfr503",0,0,0,0,0
"Olfr504",0,0,0,0,0
"Gm18410",0,0,0,0,0
"Gm44865",0,0,0,0,0
"Olfr505-ps1",0,0,0,0,0
"Gm19127",0,0,0,0,0
"Olfr506",0,0,0,0,0
"Olfr507",0,0,0,0,0
"Olfr508",0,0,0,0,0
"Olfr509",0,0,0,0,0
"Olfr510",0,0,0,0,0
"Olfr511-ps1",0,0,0,0,0
"Olfr512",0,0,0,0,0
"Olfr513",0,0,0,0,0
"Gm45232",0,0,0,0,0
"Olfr514",0,0,0,0,0
"Olfr515-ps1",0,0,0,0,0
"Olfr516",0,0,0,0,0
"Gm17992",0,0,0,0,0
"Olfr517",0,0,0,0,0
"Olfr518",0,0,0,0,0
"Olfr519",0,0,0,0,0
"Nlrp10",1,2,0,1,1
"Eif3f",2817,4265,4000,3506,4242
"Tub",3728,4805,6717,3158,5010
"Gm26599",1,1,2,1,1
"Ric3",1651,2263,2725,1382,2382
"Gm25450",0,0,0,0,0
"Lmo1",489,859,838,764,1044
"Gm44781",0,0,0,0,0
"Gm45024",0,0,0,0,0
"Stk33",10,40,28,23,38
"Gm9105",0,0,1,0,0
"1700095J03Rik",4,8,12,4,9
"Trim66",440,370,504,226,269
"Rpl27a",3372,5235,5487,4464,5362
"Snora3",0,0,0,0,0
"Gm47284",0,1,1,0,0
"Gm24888",3,6,4,5,2
"St5",297,515,647,332,560
"Gm44864",0,0,0,0,0
"Akip1",47,104,106,96,108
"BC051019",4,33,17,15,12
"Ascl3",1,1,1,0,2
"Tmem9b",2177,3166,3228,2719,3313
"4930431P19Rik",57,68,78,51,75
"Nrip3",4888,5973,7807,4038,6514
"Gm22822",0,1,0,0,0
"Scube2",16,7,19,5,12
"Dennd5a",4940,6874,8466,4546,6801
"Tmem41b",575,768,874,500,721
"Gm24842",0,0,0,0,0
"1600010M07Rik",5,9,16,8,13
"Gm23100",0,0,0,0,0
"Ipo7",2978,4019,5306,2511,4244
"Gm25636",0,0,1,0,0
"Snora23",3,0,3,6,2
"AA474408",45,55,69,48,34
"Zfp143",178,315,291,186,257
"Gm45819",51,65,78,62,93
"Wee1",403,475,661,376,580
"Swap70",241,304,332,206,285
"Gm45515",1,1,2,1,2
"Gm9132",0,0,0,0,0
"Sbf2",766,1000,1354,656,979
"Gm9064",0,0,1,0,0
"Gm17219",0,0,0,0,0
"Gm10087",0,0,0,0,0
"Gm28863",0,0,0,0,0
"Adm",39,39,53,22,40
"Gm21123",0,0,0,0,0
"Gm18907",0,0,0,0,0
"B430319F04Rik",1,7,4,3,4
"Ampd3",358,422,515,261,429
"Rnf141",1440,2169,2417,1403,2171
"Gm47282",0,0,0,0,0
"Lyve1",33,44,56,13,16
"Mrvi1",31,52,79,36,50
"Gm16336",0,0,0,0,0
"Ctr9",1224,1876,2152,1252,1726
"Eif4g2",13775,19476,24949,12623,19886
"Gm23262",1,0,3,0,0
"1700012D14Rik",10,19,29,17,21
"Gm45378",2,2,0,0,0
"5430402P08Rik",0,0,0,0,0
"Gm5338",0,0,0,0,0
"Galnt18",550,792,938,482,713
"Gm25787",0,0,0,0,0
"Gm45588",0,0,0,0,0
"Gm23345",0,0,0,0,0
"Usp47",1715,2519,3120,1630,2490
"Dkk3",6629,9270,11032,7063,10714
"Mical2",5260,7172,9045,4655,7921
"Parva",1242,1897,2228,1418,2028
"Parvaos",0,5,6,2,2
"2310014F06Rik",6,19,24,14,16
"Gm24154",0,0,0,0,0
"Gm45473",0,0,0,0,0
"Tead1",443,669,925,428,632
"Gm44462",0,0,0,0,0
"Rassf10",26,46,35,40,34
"Gm5599",0,0,0,0,0
"Gm33586",0,0,0,0,0
"4930543E12Rik",0,0,0,1,0
"Gm23662",0,0,0,0,0
"Arntl",497,767,777,413,618
"Gm45355",0,0,1,0,0
"Btbd10",1289,1819,2102,1230,1681
"Gm15994",1,1,0,0,0
"Pth",0,0,0,0,0
"Gm45614",0,0,0,0,0
"Gm18780",0,0,0,0,0
"Far1",1147,1680,2114,991,1619
"Far1os",2,1,6,2,2
"Gm45612",0,0,0,0,0
"Gm23700",0,0,0,0,0
"Gm5600",1,0,0,0,0
"Gm29507",0,0,0,0,0
"Spon1",1434,1995,2444,1346,2062
"Rras2",375,657,718,503,667
"Gm45615",0,0,0,0,0
"Gm45454",0,0,0,0,0
"Copb1",1340,1973,2450,1465,2160
"Psma1",1957,2864,3001,2165,2865
"4933406I18Rik",7,5,7,1,5
"Pde3b",231,308,354,183,304
"Cyp2r1",5,7,12,11,8
"Calca",52,45,38,48,20
"Gm18599",0,0,0,0,0
"Gm15500",154,208,200,183,199
"Calcb",4,4,3,3,0
"Insc",37,79,64,87,84
"Gm24982",0,0,0,0,0
"Gm45017",0,0,0,0,0
"Rps4l-ps",0,0,0,0,0
"Gm22669",0,0,0,0,0
"Gm45020",0,0,0,0,0
"A730082K24Rik",0,0,0,0,0
"Gm34225",0,0,0,1,0
"Rpl19-ps10",0,1,0,0,0
"Gm27684",0,0,0,0,0
"Sox6",315,335,461,223,317
"Gm45025",0,0,0,0,1
"Sox6os",2,2,3,2,3
"1110004F10Rik",1772,2377,2801,1840,2505
"1700003G18Rik",0,0,0,0,1
"Gm4353",6,2,6,2,7
"Plekha7",239,361,487,248,261
"Gm44867",0,0,0,0,0
"Rps13",2537,3785,3825,3232,3806
"Snord14a",0,0,0,0,0
"Gm44777",9,5,14,3,9
"Pik3c2a",329,444,792,245,485
"Gm45033",0,1,0,0,0
"C430039J01Rik",0,0,0,0,0
"AV356131",32,61,52,47,71
"Gm45031",0,0,0,0,0
"Nucb2",275,455,479,328,379
"Gm45151",11,8,12,4,3
"4732496C06Rik",36,53,58,30,32
"n-R5s157",0,0,0,0,0
"Gm25423",0,0,0,0,0
"Gm6008",0,0,0,0,0
"Gm4366",51,71,60,49,64
"Gm26054",0,0,0,0,0
"Gm39075",0,0,0,0,0
"Xylt1",901,1031,1570,484,905
"Gm45153",0,0,0,0,0
"Gm24063",0,0,0,0,0
"Rps15a",3477,5095,5772,4154,5352
"Arl6ip1",6426,11380,12638,7295,10391
"Smg1",1232,1514,2243,860,1493
"Gm25683",0,0,0,0,0
"Gm45084",1,0,0,0,1
"4930583K01Rik",0,1,2,0,1
