"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Rap1b",5142,5060,5043,4947,5687
"Jun",8514,7832,8780,7556,9807
"5430435G22Rik",52,117,84,89,349
"Tln2",15974,14989,17996,15695,15651
"Tnrc6a",9977,9400,10767,10289,10053
"BC004004",2851,3121,3214,2849,2922
"Zfp608",6057,5938,6842,5596,6236
"Gm9888",5,13,5,6,3
"Kcnt2",7002,5655,7247,6891,6828
"Map1b",238459,209582,253817,220149,225019
"Gm5111",0,10,2,6,7
"Klrc2",0,6,2,0,5
"Suclg1",5523,5029,5617,4868,5386
"Swt1",2587,2176,2427,2614,2651
"Trim30b",8,9,17,21,42
"Repin1",2413,2622,2495,2453,2326
"Traf7",2644,2767,3018,2808,2711
"Gpr25",135,150,174,159,135
"A630001G21Rik",70,62,83,67,103
"Zfp212",1143,1216,1151,1109,1144
"Gm12703",20,8,19,11,10
"Gm9889",24,22,27,23,12
"Oas1a",15,32,19,42,126
"4833418N17Rik",0,0,0,0,0
"Grk4",663,615,661,591,578
"Olfr573-ps1",0,0,0,0,0
"Gm9890",0,0,0,0,0
"1700030K09Rik",721,615,794,696,655
"Nup107",1452,1453,1559,1510,1509
"Atad2b",4302,3878,4330,4440,4172
"Olfr813",0,0,0,0,0
"Best2",2,2,1,0,4
"Cysltr1",85,157,101,101,192
"Gm9892",50,69,66,48,51
"Sae1",4148,3880,4792,3977,4012
"Junb",2354,2462,1907,4047,3381
"C130026L21Rik",549,414,583,456,423
"Tas2r137",24,20,33,25,26
"Reep1",6775,6651,7691,7277,6611
"Nrk",12,15,22,15,10
"Dnah6",1421,2224,711,528,730
"Gm13619",2,4,4,5,4
"Prkcb",41777,38260,46028,43279,39482
"Ubxn8",1176,1072,1267,1088,1121
"Gm9894",0,4,0,0,0
"Lamb2",2001,2800,2197,2270,2147
"Smarca5-ps",23,14,16,22,19
"Cyp2j6",1602,1617,1679,1729,1581
"Msl1",13104,12144,14042,12927,13169
"Senp7",6168,5394,6350,6025,6005
"Prkg1",2184,2046,2426,2073,2545
"Arhgef15",400,496,527,614,304
"Bpi",0,0,2,0,0
"Rnaseh2a",955,948,1011,974,964
"Ctif",8494,7657,8826,7985,8055
"Fbxo31",7909,7483,8161,7963,7686
"Glis3",3407,3150,3153,2807,3458
"Rnf157",19460,17920,21467,19420,18379
"C130021I20Rik",3,11,10,7,5
"Cpvl",2,1,0,2,2
"Gas1",749,1055,946,902,1021
"Mrpl35",2135,1944,2481,1894,2137
"Cyp2f2",32,57,102,50,38
"Ube2ql1",9575,9237,10320,9428,9903
"Uba2",6577,6072,6809,6482,6702
"Hrh1",356,533,596,722,391
"Creb5",392,481,563,378,388
"Krcc1",1245,1269,1298,1244,1468
"Cntn2",10809,9738,11643,10259,8482
"Sv2b",45600,42536,55321,41785,45196
"Spink2",0,0,0,0,0
"Gm6180",52,82,84,90,62
"Aph1c",1184,1103,985,922,948
"Cd8b1",2,4,0,4,19
"Brsk2",11362,10710,11630,11216,10500
"Gm15413",0,3,2,1,2
"Adh6a",0,0,0,0,0
"Jam2",3176,3078,3208,3114,3224
"Clec12a",12,20,13,30,176
"9230110C19Rik",1050,933,1144,743,982
"2700081O15Rik",4327,4156,4184,3726,4362
"1700069B07Rik",4,6,2,1,7
"Lins",1099,980,1147,1003,1065
"Myh7",690,756,991,664,598
"Tmem248",3404,3742,3831,3470,3441
"Gpr141",0,2,5,2,26
"Yap1",2647,2830,2478,2186,2264
"Fank1",200,207,223,142,218
"Socs3",67,109,134,135,305
"E330013P04Rik",185,172,197,150,189
"Chmp3",6141,5797,6898,6302,6362
"Gm5129",16,7,10,9,5
"Rnf26",2269,2187,2376,2099,2138
"Gsx1",20,6,23,19,34
"Supt7l",1027,1074,1161,1014,1033
"Mapk11",1090,1178,1355,1395,917
"Ptprt",16975,16428,19521,18168,16344
"Olfr352",0,0,0,0,0
"Spag16",439,584,166,106,176
"Fes",147,185,211,168,393
"Daw1",80,110,42,25,53
"Gpr21",667,781,852,887,802
"Cdh22",1428,1339,1526,1423,1277
"9030619P08Rik",0,0,0,0,0
"Rpl18-ps2",70,44,60,72,74
"Bcl3",9,29,37,27,133
"Mterf1b",226,157,202,189,183
"A830005F24Rik",58,26,48,61,44
"Gm609",45,29,39,59,23
"Spaca3",0,0,0,0,1
"Gm9898",6,9,11,3,16
"Mllt11",16063,14941,17437,15253,15304
"Cib4",0,0,0,0,0
"Prx",36,48,52,32,24
"Arhgap20",12076,10931,12747,13232,11383
"Styx",698,639,639,675,610
"Kat2b-ps",2,1,1,1,1
"Zfy1",0,1,0,0,0
"Gm9899",787,684,793,770,673
"Btn2a2",71,76,85,77,70
"Tas2r136",0,0,0,0,0
"Raet1e",2,0,0,0,2
"Dand5",441,375,551,467,385
"Ceacam3",6,14,15,27,8
"Olfr212",2,0,0,4,0
"Ndfip2",7276,6681,7853,7403,7233
"Gm12592",195,193,254,231,285
"Dspp",15,5,12,8,20
"Aldh1a1",2772,2405,2676,2703,2934
"Trmt1l",3498,3098,3423,3384,3267
"Olfr1013",0,0,0,0,0
"Ddx10",2890,2621,3073,2861,2931
"Rab4b",219,245,223,206,193
"Pom121",6148,5903,6454,5828,5849
"AI854703",1233,1240,1585,1378,1312
"Slc22a26",0,0,0,0,0
"Nrgn",43946,40592,44732,41924,42550
"Sec61b",813,806,713,623,841
"Slamf8",1,8,10,23,48
"D10Jhu81e",2808,2966,3018,2781,2951
"Gas5",4268,4004,4213,4320,4465
"Dis3l2",3098,3163,3408,3314,3053
"Ficd",1019,994,1137,978,1054
"Tarm1",9,12,8,7,7
"Zfp943",3471,2807,3545,3315,3327
"2310001K24Rik",0,3,1,4,4
"Gm9905",68,95,78,69,57
"F730035P03Rik",2,4,3,4,0
"Gm6792",2,1,0,2,0
"Rxfp2",19,32,34,26,27
"Atp6v1e2",2,2,0,0,0
"Trim50",2,0,0,3,1
"Tas2r107",0,0,0,0,0
"Zfp952",1803,1620,1735,1660,1793
"Olfr211",0,0,0,0,0
"Cacng8",11172,10716,10965,10294,11345
"Phgdh",3481,3755,3644,3676,3351
"Adamts18",112,140,99,86,99
"Cbx7",3686,3637,3883,3718,3678
"Hunk",3603,3768,3741,3721,3102
"Gm4792",0,2,2,2,3
"Mapk14",7016,6632,7248,7078,7128
"Adamts19",5,17,21,22,21
"4930597O21Rik",28,21,31,34,30
"Thoc7",2225,1872,2555,2255,2284
"Ggcx",1423,1509,1642,1497,1403
"Hhipl2",47,39,41,31,41
"Hs6st3",2063,1770,2150,2206,1873
"Tg",13,10,10,21,10
"Kdm3a",5069,4590,5150,4854,4892
"Gm13534",3,2,6,0,0
"Tnfaip6",699,640,636,621,528
"Tcf4",65152,57603,68255,63338,64467
"Usp21",2570,2258,2615,2450,2408
"Trim60",0,0,0,0,0
"Gm5444",0,0,0,0,2
"BC048502",0,2,0,0,0
"Nrd1",14125,13478,15009,14122,13858
"Kcnip1",1011,957,1168,1028,946
"Lgals7",3,0,1,0,0
"A530021J07Rik",0,0,1,5,4
"Cstf2t",8973,8638,9094,8398,8524
"Gm4759",5,8,21,20,41
"6430503K07Rik",12,23,32,23,32
"Shisa7",15554,13124,16763,14013,14704
"Ebf4",776,931,1008,869,819
"3110082I17Rik",432,408,438,459,401
"Smagp",41,68,57,44,44
"Ier2",220,264,204,444,317
"Eif3k",3363,3389,3824,3446,3577
"4930563E22Rik",282,248,305,287,262
"Tanc2",27044,26351,30938,30546,27839
"Zfand2a",3200,3086,3289,3209,3147
"A730061H03Rik",21,16,15,14,14
"Fate1",12,10,15,5,6
"Zfp472",528,510,583,536,596
"4930442H23Rik",0,0,0,0,2
"Rpia",875,827,928,919,905
"Notumos",17,4,22,15,12
"Gm9913",18,30,14,20,27
"Sh3pxd2a",6067,6488,6434,6517,6735
"Gykl1",0,0,0,0,0
"Tll1",449,479,376,398,426
"Gm9915",8,2,12,8,2
"Dennd4a",10700,10573,12625,12378,11293
"Aldh7a1",5188,5338,5922,5240,5373
"Plxnb1",9522,9483,9757,8949,9029
"Gper1",122,143,129,148,108
"Krt42",2,0,2,4,2
"Dancr",243,225,278,200,247
"Tgm5",5,0,2,4,0
"Defb40",0,0,0,0,0
"BC048403",951,925,1087,991,907
"Dpep2",8,5,14,3,36
"Mast1",7110,7481,8504,7742,7013
"Defb37",0,0,0,0,0
"Nebl",19233,17533,18926,18340,18961
"B430305J03Rik",247,247,246,208,270
"4732471J01Rik",77,87,104,76,74
"Dusp7",6012,5584,5576,6181,5743
"Klk1b26",0,0,0,0,0
"Vmn2r43",0,0,0,0,0
"Spinkl",1,0,0,2,0
"Tmem39b",504,490,553,570,546
"Gm6457",23,23,27,25,35
"Gm5114",0,0,0,2,0
"Ptrh1",161,125,169,128,123
"Sox14",0,2,0,12,2
"Gm9920",21,16,18,9,12
"Chd8",16448,15984,18049,16895,17279
"Oas1f",0,0,0,0,0
"Chchd3",3210,2910,3357,2952,3250
"Lysmd1",512,420,485,439,430
"Rdh8",0,0,2,0,2
"Ubxn7",12932,12011,13365,12564,12904
"1700016K19Rik",105,107,69,86,84
"Defb38",0,0,0,0,0
"Krt16",0,0,0,0,0
"Exoc6",4699,4547,5034,4471,4749
"Grwd1",761,788,902,760,830
"Olfr744",0,0,0,0,0
"Camk2d",5495,7041,11397,10127,6620
"Bcl2a1c",0,0,0,0,0
"Gm9922",0,7,5,2,3
"Ppfia2",30214,24645,30307,26573,31005
"Gm9923",10,14,8,18,26
"H2-T24",107,132,199,206,197
"Nudcd3",9677,9183,10121,9991,9123
"Txlna",4191,4074,4266,3878,4023
"Lipg",105,111,143,125,109
"Adgrg4",0,2,2,4,0
"Dnajc5g",0,0,0,1,0
"Gm9925",90,83,95,95,64
"Slc51b",0,0,0,0,0
"Mepe",0,0,0,0,0
"Gm5142",0,0,0,0,0
"Fpgt",2934,2676,3181,2488,2873
"Aym1",1,0,1,0,0
"Srcap",24076,23698,25830,24187,23304
"Sh2d4a",11,10,4,6,10
"Kirrel3os",41,29,38,21,22
"4933409G03Rik",0,1,1,2,0
"Slc39a8",271,282,359,260,315
"Ech1",1841,1902,1800,1596,1943
"Mat2a",11811,10583,11615,11901,11139
"Rhox10",0,0,0,0,0
"Kdm4d",143,168,191,169,191
"Nanp",70,79,72,86,84
"Gm9929",65,59,46,51,52
"Cyhr1",6641,6286,7348,6413,6675
"Shisa6",19054,14874,17478,13511,18545
"Cnn3",5860,6094,5674,5121,6439
"Adnp2",3142,3209,3411,3143,3100
"Gm12474",15,11,0,2,3
"Ang5",0,0,0,0,0
"6330403A02Rik",48849,40296,47310,37109,44531
"Lgals4",170,165,138,160,144
"Pde5a",1750,1905,1714,1617,1457
"Cd8a",2,0,2,6,27
"A730045E13Rik",13,12,15,9,9
"Gm9930",566,504,683,690,643
"Zfp14",479,502,548,471,493
"Tusc1",288,341,363,263,333
"Tdrd9",16,20,14,18,23
"Mill1",0,0,0,0,0
"D630008O14Rik",0,0,0,0,0
"Ndst1",10406,10686,11105,10557,10959
"Tmem179",5076,4995,5932,5016,5144
"Sirt5",588,584,654,593,600
"Nt5dc3",22764,19910,23418,18778,22429
"Rdh18-ps",0,1,2,2,0
"Adam39",0,0,0,0,0
"Tceal5",1999,1895,2203,2025,1928
"Olfr279",0,0,0,0,1
"Klk13",0,2,0,0,0
"Ercc6",5233,4699,5486,5095,5103
"Rdh19",2,2,0,0,0
"Olfr309",0,0,0,0,0
"A930004D18Rik",297,274,304,308,299
"Gm9934",25,49,41,40,26
"Pkp3",3,18,8,4,6
"6030452D12Rik",0,0,0,0,0
"Iigp1",223,195,258,280,577
"Skida1",1636,1407,1644,1454,1599
"Utp18",2129,1910,2122,2180,2069
"Capn12",23,28,16,36,20
"Fbxw14",4,0,0,3,1
"1810037I17Rik",2226,2255,2287,2164,2234
"Slc25a40",1719,1581,1988,1780,1799
"Nlrp9a",0,0,0,0,0
"Try4",0,0,0,0,0
"Skp2",867,814,999,1010,909
"E130116L18Rik",0,0,0,0,1
"Zdhhc25",0,0,0,0,0
"H2-T3",0,0,0,2,2
"Umodl1",161,103,144,131,124
"A430110L20Rik",255,247,282,273,255
"Adm2",0,0,0,0,0
"Olfr24",0,0,0,0,0
"Vmn1r236",0,0,0,0,0
"Krt15",28,28,29,26,24
"Syne3",427,579,310,326,263
"Gm4894",0,0,0,2,0
"Nkx2-4",0,0,0,0,0
"Fam83e",15,18,13,31,33
"Spock3",7351,6990,7909,7786,6683
"Ceacam10",2,3,0,0,0
"Gm9938",1963,1900,1779,1808,1884
"A930012O16Rik",47,65,43,43,48
"Klf1",15,6,6,7,6
"Cthrc1",208,288,276,266,227
"Gon4l",5573,5142,6026,5710,5386
"Ffar4",2,6,5,8,5
"Ifi205",0,2,0,2,23
"Fam150b",171,163,141,158,159
"Gzmm",141,164,125,108,106
"Sprr2k",0,0,0,4,0
"Tprkb",5341,5381,5883,5044,5753
"Olfr481",0,0,0,0,0
"Fra10ac1",1154,980,1280,1117,1045
"Gm9939",17,9,11,6,23
"Fgfr3",9352,7594,9981,9024,8142
"Msi1",2644,2853,2553,2389,2384
"Gm5082",0,7,6,0,1
"Lifr",13097,11178,13002,11935,12489
"Serpinb9d",0,0,0,0,0
"Zscan4c",0,0,0,0,0
"Arfgap3",1093,1250,1340,1158,1204
"Prr14l",15460,13312,15692,14211,15127
"A630033H20Rik",30,41,65,35,54
"Eapp",2983,2795,3186,2689,2903
"D130007C19Rik",325,266,331,322,297
"Cpsf3",3168,3101,3441,3180,3320
"Obox1",0,0,0,0,0
"Mrps21",1777,1786,1820,1636,1753
"Lrrc36",116,157,126,91,88
"Taf4b",829,888,887,896,792
"Lce3a",0,0,1,0,0
"Kcnn4",10,20,13,3,47
"4930553M12Rik",0,3,4,0,0
"Bsx",0,2,1,3,0
"BC055111",2,9,4,12,4
"Rhob",18482,17661,18706,16855,18418
"2410024N13Rik",0,0,0,0,0
"Zfp747",302,318,333,328,332
"Pnma1",185,220,264,197,222
"Ceacam2",35,49,15,25,29
"Mdm4",13780,13400,14246,13576,13418
"4930517O19Rik",10,18,3,15,20
"Cklf",128,112,145,131,134
"Slfn5",247,342,362,355,534
"Dnajc8",4965,4392,5165,4875,4760
"Olfr411",0,0,0,0,0
"Spcs3",6987,6143,7348,6711,6733
"Tmem74",1759,1702,1997,1603,2069
"Gm4793",85,124,83,109,81
"Slc30a7",2995,2895,3050,3117,3281
"Cyp3a44",0,0,0,0,0
"2900041M22Rik",102,70,108,75,108
"Fabp1",0,0,0,0,0
"Cadps",30680,26795,31904,29336,29693
"A930005H10Rik",413,363,445,382,417
"Atpif1",5523,4807,6054,5484,5483
"Olfr450",0,0,0,0,0
"Tmem120b",613,554,675,649,626
"Gimap4",5,20,11,14,109
"Cpa1",0,2,0,0,0
"Gm9945",72,87,70,83,57
"Aes",15921,16061,17285,15751,16066
"Sytl5",540,525,632,460,571
"Vapb",9915,9404,10537,9672,9301
"9430021M05Rik",161,163,211,188,127
"Vsnl1",25397,23288,28908,29179,23310
"Lclat1",3225,3226,3589,3328,3171
"Thnsl2",253,271,280,235,241
"Kcnn2",6703,5825,7182,6610,6176
"Tmem62",2171,1960,2406,2084,2096
"Gm9946",32,17,25,26,11
"Gm9947",166,182,196,194,185
"Tas2r130",0,0,0,0,0
"Olfr308",0,0,0,0,0
"Dedd2",895,743,850,777,746
"Parp4",1174,1550,1012,1025,1219
"Gm14461",1,0,2,2,60
"Atad3aos",101,55,76,75,54
"Trim65",555,478,468,501,476
"Zfp867",586,649,731,610,549
"Sh3bp2",276,269,286,285,471
"Ms4a5",0,0,0,0,0
"Olfr1500",0,0,0,0,0
"Tmprss11e",0,0,4,0,2
"Ugt1a6a",13,14,6,15,7
"Adam12",789,820,901,759,918
"Gm4876",229,224,187,206,170
"Usp17la",0,0,0,0,0
"Pla2r1",9,16,17,17,19
"Pabpc1l",21,31,29,20,34
"Gm9949",13,6,11,8,15
"Oscar",117,140,138,123,101
"9130230L23Rik",0,3,0,0,1
"Cggbp1",8175,7398,8060,7360,8101
"Kdm2a",12148,10897,12026,11447,11912
"Mgmt",30,25,43,34,50
"Gm9951",0,0,0,0,0
"Mettl7a1",2182,1764,1702,1814,1881
"D730045B01Rik",57,71,53,65,65
"Xlr",54,45,108,92,138
"Ugt2b5",1,3,2,0,1
"Slc8a1",20652,19640,24907,21209,20653
"Mmrn1",4,8,4,6,4
"Zfp869",1713,1779,1971,1879,1767
"Pm20d2",581,532,506,529,525
"Ano9",7,3,6,0,2
"Olfr63",0,0,0,0,0
"Irs4",39,56,92,36,54
"5830411N06Rik",10,6,7,6,13
"Tmem119",975,978,1101,976,1199
"1600014C10Rik",1921,1692,2013,1767,2149
"Srsf12",2222,2060,2462,2072,2082
"Emcn",319,328,281,270,233
"Adam10",11267,10592,12330,10484,11663
"Ap1s3",267,218,246,242,190
"Ankrd24",1821,2070,2233,2063,1697
"Zscan22",1215,1058,1180,1082,1076
"Zfp771",2001,2080,2176,2059,2043
"Hmgb2",257,204,279,304,372
"Lrrc8c",4942,4066,4397,4287,3993
"Vmac",718,670,768,685,676
"1700013H16Rik",0,0,0,0,0
"Phactr1",27895,27262,31701,31019,26741
"Msra",2822,2399,2894,2550,2783
"Zfp182",2102,1720,2185,2076,2061
"Gm9955",4,0,5,1,3
"Abca15",0,0,1,5,2
"Fsd1l",8247,7462,7678,7064,7153
"AU018091",0,0,0,0,0
"Akr1c20",0,0,0,0,0
"Gm9956",3,0,1,0,2
"Krtap5-2",0,0,0,0,0
"Defb42",4,17,9,12,12
"Mtnr1a",2,0,0,0,0
"Set",17461,16692,18721,17251,17837
"Kctd18",1835,1772,2109,1990,1878
"Fgf2os",2,2,0,0,0
"Klhl18",2197,1976,2416,2107,2150
"Cadm4",6714,6800,7795,7590,6819
"Actn4",7418,7737,7614,7549,7557
"Usp46",12973,11909,13510,11666,12450
"1700041G16Rik",23,27,21,16,29
"Whsc1l1",15421,13496,16337,15414,15077
"Cyp2c50",0,0,0,0,0
"Elp6",446,436,516,443,462
"Atrnl1",12812,12101,14526,13235,12605
"6330419J24Rik",1318,1248,1559,1294,1221
"Rnd1",378,383,375,458,347
"Fam19a5",7479,6798,7812,6982,7312
"Tmem158",1798,1996,2535,2183,2053
"Pcnxl3",5615,5778,5821,5486,5496
"4930578G10Rik",176,180,242,315,154
"Dsp",7479,6094,4757,6457,6587
"Olfr1535",0,0,0,0,0
"Txk",4,11,20,9,17
"Zfp667",2485,2110,2315,2273,2400
"Atp5s",1115,1012,1119,1038,991
"Arhgef33",113,160,166,150,126
"Stfa3",0,0,0,0,0
"Wbscr25",36,33,40,30,37
"4931415C17Rik",131,118,149,166,126
"Klhl5",5158,4848,5245,4992,5498
"Zkscan4",368,378,425,398,362
"Afp",2,2,0,0,4
"Kcnmb4",2694,2569,2943,3120,2629
"Olfr1346",0,2,0,3,0
"Zfp174",1113,1116,1317,1093,1007
"Olfr137",0,0,0,0,0
"Fam73a",13920,13260,13940,13226,12579
"5330416C01Rik",157,129,222,193,161
"Gm9958",120,114,107,110,108
"9130008F23Rik",23,21,24,20,22
"Gm9959",3,4,1,3,3
"Nt5c1a",514,503,441,531,571
"Lmntd1",67,137,104,95,102
"Zfp647",210,218,237,190,185
"Nyap2",5659,4935,7566,6752,5455
"Kbtbd13",27,27,40,22,42
"Sec14l3",72,202,337,195,142
"Agtr1b",11,13,12,13,9
"AV320801",0,0,0,0,0
"Naaladl1",3,15,12,8,7
"Lrtm2",2646,2613,2705,2846,2676
"A830031A19Rik",95,51,108,88,85
"Agap1",18146,16226,20335,17739,17735
"Gm9961",0,0,0,0,0
"Cntn1",51564,48921,54799,48301,49548
"Ep300",14625,13477,15199,15071,15026
"Gabrg3",3962,3539,4242,4172,3906
"Smyd1",89,62,70,82,70
"Sprr2e",0,0,0,0,0
"Olfr420",0,0,0,0,0
"Commd5",541,521,564,513,526
"Pdlim1",304,285,353,314,303
"Gm11190",21,12,24,25,6
"Gm9962",100,101,109,114,96
"Nfic",6877,7147,6533,7475,6682
"4931431C16Rik",22,21,26,27,14
"Ddx17",27758,26854,28608,27084,27208
"Smyd3",2649,2705,2961,2879,2724
"Rab39",165,121,182,119,206
"Gm9964",0,0,0,0,0
"Gabra5",14136,12292,14610,12572,13549
"Olfr354",0,0,0,0,0
"Gm8430",80,84,84,116,80
"Spink6",0,0,0,0,0
"Gm9966",56,64,82,35,63
"Zfp819",20,29,19,11,1
"Phxr2",4,2,0,2,3
"Gm15155",11,18,12,38,13
"A630012P03Rik",0,2,0,0,0
"Anxa13",0,0,1,0,0
"Arntl",2403,2639,2788,2583,2568
"M5C1000I18Rik",1198,998,1044,980,1173
"Cgrrf1",1072,904,1033,1000,960
"9130017K11Rik",35,35,51,27,8
"Sugct",170,197,151,127,169
"Gm4861",17,18,17,15,8
"Klf2",257,439,310,443,332
"Zfp78",301,279,295,268,270
"4930583K01Rik",2,2,9,5,4
"Ifng",2,0,0,0,1
"C1ra",118,120,73,115,192
"Cstl1",33,13,34,20,22
"Fam72a",104,78,122,104,97
"Rbm3os",25,28,25,34,42
"Klk15",0,0,0,0,0
"Actbl2",3,4,6,6,7
"Fev",0,0,2,2,0
"Gm12830",5,3,3,0,1
"Sertad3",157,109,124,118,144
"Zfp811",547,471,578,478,570
"Ankrd17",28517,26546,30163,28573,29086
"Foxd2",8,27,22,26,23
"Pld5",338,308,250,184,219
"9430025C20Rik",197,149,236,241,230
"Zfp935",998,915,1038,900,1015
"Wdr86",525,792,57,43,81
"Kcmf1",3654,3815,3896,3723,3647
"Zfp101",1951,1924,2073,2698,1645
"Ntrk2",54419,51652,58735,52384,52858
"9330161L09Rik",63,98,85,88,67
"Tmem245",15257,14623,16017,14523,15755
"Ctsj",0,0,0,0,0
"Adh7",2,8,4,4,10
"Mrfap1",21366,20816,22546,20063,22002
"Zfp93",855,835,978,809,862
"Them7",1,4,2,0,2
"Pgbd1",244,268,246,293,245
"Sec23ip",5719,4924,5495,4896,5332
"Tead1",5382,5619,4629,4136,5058
"Tns1",4608,5239,3544,3765,3185
"Gm9967",39,75,66,69,68
"Fat2",49,156,127,98,120
"Snupn",719,655,788,644,678
"Zfp457",111,100,122,106,104
"4933400A11Rik",0,0,0,0,0
"Prl2c5",0,0,0,0,0
"Slc6a2",2,3,4,0,2
"Gm9968",3,3,2,7,2
"Stam2",3068,2975,3458,2900,2838
"Fut9",26829,22589,31504,31513,24845
"Rnf212",0,0,2,1,1
"Fbxo6",742,852,847,849,827
"4933427D06Rik",0,0,1,2,0
"Map6",8357,7808,9955,8637,8060
"Hottip",0,0,0,0,0
"Nell1",3235,3391,4358,3508,3534
"H2-Q5",0,20,13,20,42
"Atp10b",409,422,355,384,255
"Fam136b-ps",0,1,0,0,0
"Pcdh9",24686,23654,28516,28400,25467
"Gm9970",4,10,1,4,6
"Nap1l5",16110,15787,19813,17646,16013
"Maf",2988,3333,3141,2884,3285
"Srsf11",15699,14731,17008,15765,15096
"A630091E08Rik",0,0,0,0,0
"Cd47",22099,21768,23467,21648,21919
"Gm7353",42,32,28,42,46
"Gm9972",11,7,5,0,0
"Alk",545,537,643,542,446
"Zfp458",2539,2210,3149,2660,2722
"Soga1",6023,5925,5722,5443,6517
"Ano5",288,313,392,339,333
"Pprc1",2265,2225,2238,2271,2222
"Epm2a",3193,3051,3303,3186,3179
"Gm14168",198,182,173,140,152
"Gm9974",36,32,46,45,36
"Vmn2r81",0,0,0,0,0
"Gucy2g",186,180,221,260,147
"Cpsf6",21644,19525,22528,21142,21766
"Zcchc24",7225,6266,7761,6856,6912
"Epha6",20769,18170,20790,18915,20916
"Lair1",758,756,928,1019,1307
"Timd4",0,10,2,10,12
"Apobec4",0,2,0,0,0
"Kxd1",1259,1343,1368,1313,1386
"4930502E18Rik",20,21,16,21,24
"Zfp459",159,156,193,243,132
"Spink5",0,0,0,0,0
"Unc80",63727,58075,69536,66279,65250
"Olfr305",0,0,0,0,0
"5530400C23Rik",0,1,0,0,0
"Tcp10b",51,71,65,58,71
"Hba-x",0,0,0,0,0
"Olfr307",0,0,0,0,0
"Cdca7",210,176,248,178,219
"Olfr636-ps1",0,0,0,0,0
"B4galnt4",4717,4721,5193,5112,4324
"Hmcn2",52,94,104,79,71
"Zfp580",716,789,705,727,621
"Dach1",766,588,867,767,755
"4931431F19Rik",0,0,0,0,2
"Klhl25",592,532,574,433,629
"Gpc3",336,520,514,311,437
"Mettl4",1391,1224,1461,1102,1373
"Zzef1",11447,10809,12687,11982,11339
"Kbtbd11",22138,19164,19926,19723,20531
"Gm5069",282,236,264,231,237
"Ctsr",0,0,0,0,0
"Cope",3801,3485,3702,3339,3561
"Gja6",198,217,349,325,221
"Tmem191c",2777,2591,3191,3060,2521
"Gdf1",0,0,0,0,0
"4933401B06Rik",0,0,0,0,0
"Gm9978",0,16,6,4,2
"Klhl26",3823,3454,3779,3378,3747
"Slain1",4580,4608,4907,4551,4348
"Ubl7",2845,2870,3008,2830,2794
"Rras2",2109,1802,2020,1880,2039
"Paqr3",2167,1802,2288,2061,2085
"Ces2a",0,0,1,0,0
"Gm9979",0,0,0,0,0
"Nap1l3",3982,3572,4722,3916,3825
"Ghr",1304,1304,1218,1272,1021
"Ldoc1l",4690,4686,5555,4503,4703
"Magea2",0,0,0,0,0
"Gsdmc4",0,10,5,5,6
"Gemin6",238,184,290,251,236
"Nkain3",3720,3472,3842,2852,3941
"Eef1d",3972,3672,4136,3820,3855
"Gm6910",15,28,20,26,31
"Gm7936",5,0,1,3,2
"Myh8",130,115,147,146,132
"Usp26",0,0,0,0,0
"Abcd2",3126,2953,3281,3396,3537
"E330017A01Rik",0,0,0,0,0
"Gm5160",0,0,0,0,3
"Tcf7l1",253,285,338,266,265
"Fmnl1",7299,6701,7289,7297,7128
"Dnaaf3",111,129,66,50,98
"Cldn17",0,0,0,0,0
"Mta3",6935,6598,7812,7185,7086
"A230083G16Rik",68,58,57,65,56
"Olfr967",0,0,0,0,0
"Tescl",0,0,0,0,0
"Gsdmc3",0,0,0,0,0
"1700034H15Rik",219,199,267,276,198
"Zfp1",1545,1366,1675,1535,1515
"Olfr357",0,0,0,0,0
"Tceb2",5204,5160,5515,4812,5264
"Rnf181",2808,2714,2905,2448,2928
"Izumo4",1029,1080,1429,1095,972
"Fam19a3",1,2,4,4,4
"Per2",4737,3336,3926,4621,3595
"Gm9985",0,0,0,0,0
"Foxi3",0,0,0,0,0
"Abhd16b",0,0,0,0,0
"Fancm",2230,2181,2359,2396,2312
"Ubl4b",3,3,3,5,0
"Oosp2",2,0,2,0,0
"Ppp4r1l-ps",1505,1581,1792,1638,1526
"Tmem69",567,545,572,536,536
"Tmem150a",480,473,485,490,428
"Zfp277",1687,1546,1795,1788,1748
"Aasdh",1580,1491,1829,1502,1468
"Gm14137",8,0,10,4,6
"Fto",11890,12031,13003,12228,11329
"Oosp3",0,0,0,0,0
"Krt28",4,4,6,12,6
"Gm4745",2,2,0,0,0
"Emc7",8988,8518,9682,8771,8889
"E130018O15Rik",0,0,0,0,0
"Prr18",3072,3433,2811,2732,2375
"Gm9987",36,52,59,56,50
"Skint4",0,0,1,2,0
"BC051076",0,0,0,0,0
"Triqk",1698,1556,1724,1520,1585
"Gm9988",3,7,4,2,4
"Olfr378",0,0,0,0,0
"2810407A14Rik",98,84,97,74,110
"Cldn23",25,22,22,34,27
"Fut2",14,16,21,22,13
"Irs1",5086,4718,4676,4724,4858
"Zkscan5",1288,1161,1358,1204,1218
"Nod2",26,30,45,19,41
"9330182L06Rik",3009,2806,3665,3369,2925
"Gm11541",2,2,4,0,6
"A430033K04Rik",1735,1462,1694,1542,1602
"1700008F21Rik",0,1,0,0,0
"Zfp709",1427,1250,1511,1448,1487
"Gm9989",131,103,179,164,119
"Clca3a1",33,41,61,44,114
